ROW 1: RIS TAG:	AU	PY	T1	PB	SN	DO	UR	L1	N2	CT	CY	JO	VL	IS	SP	EP	KW								
BOOK	Katchanovski, Ivan	2010/12/27	Political Regionalism in "Orange" Ukraine				https://www.researchgate.net/publication/259311022_Political_Regionalism_in_Orange_Ukraine	PoliticalRegionalisminOrangeUkraine.pdf	This study analyzes changes in regional electoral behavior and foreign policy attitudes in Ukraine after “Orange Revolution.” The research question is whether the public support for major groups of political parties and presidential candidates and attitudes towards principal foreign policy issues in regions of Ukraine have changed after the “Orange Revolution.” This article employs comparative and statistical analyses of voting results of the 2007, 2006, and 2002 parliamentary elections, the 2010 local elections, and the 2004 and 2010 presidential elections, and survey data to examine effects of regional political culture, compared to other factors, on support for pro-nationalist/pro-Western and pro-Russian/pro-communist political parties and presidential candidates. This study also uses survey data to analyze changes in attitudes towards NATO, the European Union, and a union with Russia in regions of Ukraine and a change in separatist preferences in Crimea. The analysis shows that Ukraine after the “Orange Revolution” remained divided along regional lines in terms of support for political parties and presidential candidates and attitudes towards foreign orientation.																
BOOK	Katchanovski, Ivan	2011/05/30	Politics of Representation of Post-Communist Countries in American, British, and Canadian Films				https://www.researchgate.net/publication/315729430_Politics_of_Representation_of_Post-Communist_Countries_in_American_British_and_Canadian_Films	Politics_of_Representation_of_Post-CommunistCountries.pdf	The study examines the role of political factors in representation of post-communist countries in Canada, UK, and US films. Post-Soviet countries receive more negative portrayal than East Central European countries. Criminals, spies, and terrorists dominate representation of Belarus, Russia, and Ukraine. NATO members generally receive more positive representation.																
JOUR	Katchanovski, Ivan	2011/09/01	Puzzles of EU and NATO Accession of Post-Communist Countries			10.1080/15705854.2011.596308	https://www.researchgate.net/publication/254335629_Puzzles_of_EU_and_NATO_Accession_of_Post-Communist_Countries	PuzzlesofEUandNATOAccessionofPost-CommunistCountries.pdf	Accessions of post-communist countries to the European Union (EU) and the North Atlantic Treaty Organisation (NATO) represent puzzles. While many such countries were granted a membership or a prospect of membership in these organisations, other European post-communist countries were not offered accession or the prospect of membership in the EU and NATO. The question is which factors account for such significant variation in accession to the EU and NATO among European post-communist countries. This article uses statistical analysis to determine which factors affect the accession of 25 European post-communist states to the EU and NATO in 1997–2010. The study shows that the level of democracy is positively associated with accession to NATO and the EU. Conflicts have a negative impact on the NATO enlargement, while the level of economic development has a positive effect on EU enlargement. Being a post-Soviet country has a negative effect on both NATO and EU accession.			Perspectives on European Politics and Society	12		304	319									
JOUR	Katchanovski, Ivan; Morley, Alicen	2012/01/01	The Politics of U.S. Television Coverage of Post-Communist Countries			10.2753/PPC1075-8216590102	https://www.researchgate.net/publication/256373668_The_Politics_of_US_Television_Coverage_of_Post-Communist_Countries	ProblemsofPost-Communismarticle.pdf	An analysis of the coverage of post-communist countries by the major U.S. television networks from 1998 to 2009 reveals that U.S. allies receive more positive coverage than do non-allies or adversaries and that there are systematic biases in the representation of many post-Soviet countries.			Problems of Post-Communism	59												
BOOK	Katchanovski, Ivan	2012/04/19	Democracy and Political Values in Ukraine				https://www.researchgate.net/publication/260084376_Democracy_and_Political_Values_in_Ukraine	Katchanovski_Democracy_and_Political_Values_in_Ukraine.pdf	This study examines democratic orientations and their determinants in post-Orange Ukraine from the perspective of a political culture theory. The research question is, to what extent is political culture in Ukraine supportive of democracy. This paper uses data from different waves of the Pew Global Attitudes surveys, the World Values Surveys, and the International Foundation for Electoral Systems surveys to examine public views towards democracy in Ukraine. The paper compares democratic values in Ukraine with those in Poland and Russia, two similar post-communist countries with differing political cultures and divergent trajectories of democratization. It also examines changes in the levels of pro-democratic attitudes in post-Orange Ukraine compared to the Orange and pre-Orange periods. Finally, this study implements multiple regression analysis of the determinants of democratic attitudes. The analysis shows limited effects of historical democratic legacies and Catholicism on pro-democracy views. With some exceptions, adherents of major parties do not differ significantly in terms of their degree of support for democracy. This study suggests that partially democratic and partially authoritarian political culture impedes the future prospects for consolidated democracy in Ukraine.																
BOOK	Katchanovski, Ivan	2014/08/28	East or West? Regional Political Divisions in Ukraine since the "Orange Revolution" and the "Euromaidan"			10.13140/2.1.3992.1922		EastorWestRegionalPoliticalDivisionsinUkrainesinceOrangeRevolutionandEuromaidan.pdf	This paper analyzes changes in regional electoral behavior and attitudes towards separatism and foreign policy orientation in Ukraine after the “Orange Revolution” and the “Euromaidan,” which turned into a violent internal conflict and one of the biggest international conflicts involving Western countries and Russia. The research question is whether the regional divisions concerning domestic politics, separatism and foreign orientation have changed significantly in Ukraine since the “Orange Revolution” in 2004 and the “Euromaidan” in 2014. This paper employs comparative and statistical analyses of voting results of the 2012, 2007, 2006, and 2002 parliamentary elections, and the 2014, 2010, and 2004 presidential elections, to examine effects of historical legacies, ethnicity, language, age, and economic factors on regional support for pro-nationalist/pro-Western and pro-Russian/pro-communist political parties and presidential candidates. The study also analyses support for separatism in Crimea and Donbas after the “Orange Revolution” and the “Euromaidan.” It uses a brief survey, conducted for this study by the Kyiv International Institute of Sociology (KIIS) in April and May 2014, to examine determinants of pro-separatist attitudes. The paper also employs Razumkov Center and KIIS surveys to analyze changes in 2002-2014 in regional preferences for joining the European Union (EU), NATO, and a union with Russia. The analysis shows that Ukraine after the “Orange Revolution” remained divided along regional lines in terms of support for political parties and presidential candidates and attitudes towards joining the EU, NATO, and a Russia-led union. After the “Euromaidan,” such divisions in foreign policy orientation and, to a lesser extent, support for presidential candidates and political parties remained. A significant rise in separatist sentiments helped to fuel separatist takeovers of power in Crimea and Donbas and Russian military intervention in these regions.																
CONF	Katchanovski, Ivan	2014/10/01	The Separatist Conflict in Donbas: A Violent Break-Up of Ukraine?	Canadian Institute of Ukrainian Studies		10.13140/RG.2.1.1572.7122	https://www.researchgate.net/publication/292608098_The_Separatist_Conflict_in_Donbas_A_Violent_Break-Up_of_Ukraine		Ukraine has experienced significant regional divisions concerning such issues as support for leading presidential candidates and political parties, foreign orientation, and attitudes towards major historical events since it became independent in 1991. Separatism in various forms manifested itself in Crimea in the first half of the 1990s and in Donbas and neighboring regions during the “Orange Revolution” in 2004. However, Ukraine was able until 2014 to avoid a violent break-up, in contrast to such post-communist countries as Azerbaijan, Georgia, Moldova, and former Yugoslavia. In 2014, Crimea seceded with help of Russian military intervention, and it was annexed by Russia. Pro-Russian separatists with direct involvement of large groups of armed Russians with indirect Russian government support seized power in most of Donbas and engaged in a violent conflict with pro-government forces in the Donetsk and Luhansk Regions (Donbas). The research question is as to why Ukraine has suffered a violent separatist conflict in Donbas. This study analyses the role of different actors and factors in the violent conflict in Donbas. This paper uses a brief survey, which was commissioned by the author and conducted by the Kyiv International Institute of Sociology (KIIS) in the end of April and the beginning of May 2014, to analyze support for separatism in Donbas, compared to other regions of Ukraine, and major factors which affect such support. It compares the role of the Yanukovych and post-Yanukovych governments in Ukraine, the Russian and Western governments, political leaders of these countries, and Russian and Ukrainian paramilitary formations. This paper also compares the violent separatist conflict in the Donetsk and Luhansk Regions to other similar violent conflicts and to secessions of Transdniestria in Moldova, Abkhazia and South Ossetia in Georgia, Nagorno-Karabakh in Azerbaijan, Krajina in Croatia, Republika Srpska in Bosnia, and Kosovo in Serbia.	Negotiating Borders	Edmonton	European Politics and Society	17	3											
JOUR	Katchanovski, Ivan	2023/10/16	The “snipers’ massacre” on the Maidan in Ukraine			10.1080/23311886.2023.2269685		ThesnipersmassacreontheMaidaninUkrainearticle.pdf	This study analyzes which party of the conflict was involved in the 2014 Maidan massacre in Ukraine. The massacre of Maidan protesters and the police on 20 February 2014 was a turning point in Ukrainian politics. This mass killing led to the overthrow of the Ukrainian government and spiraled into a civil war in Donbas, Russian military intervention in Crimea and Donbas, the Russian annexation of Crimea, and conflicts between Ukraine and Russia and between the West and Russia that Russia drastically escalated by launching its illegal invasion of Ukraine in February 2022. This article proposes and tests the moral hazard theory of the state repression backfire. Content analysis of synchronized videos, testimonies by several hundred witnesses, confessions by 14 self-admitted members of Maidan sniper groups, and bullet hole locations show that both the police and protesters were massacred by Maidan snipers located in Maidan-controlled buildings and areas. Content analysis of synchronized videos revealed that the specific time and direction of shooting by Berkut policemen, who were charged with the massacre, did not coincide with the killing of specific protesters. Testimonies by the absolute majority of wounded protesters and some 100 witnesses and forensic examinations by ballistic and medical experts for the Maidan massacre trial and investigation in Ukraine corroborate this. The article shows that the false-flag massacre was rationally organized and carried out with the involvement of oligarchic and far-right elements of the Maidan opposition to overthrow the incumbent government in Ukraine.			Cogent Social Sciences	9	2	1	34	CC BY 4.0								
BOOK	Katchanovski, Ivan	2024/08/01	The Maidan Massacre in Ukraine: The Mass Killing that Changed the World	Palgrave Macmillan	978-3-031-67121-0	10.1007/978-3-031-67121-0	https://www.researchgate.net/publication/383610612_The_Maidan_Massacre_in_Ukraine_The_Mass_Killing_that_Changed_the_World		This open access book provides a comprehensive analysis of the Maidan massacre in Ukraine. It uses a theoretical framework of rational choice, moral hazard, state- repression backfire, and Weberian ideas about rational action to explore the massacre. The book draws on publicly available videos, photos and audio recordings of the massacre in English, Ukrainian, Russian, Polish and other languages, along with several hundred individual testimonies and revelations from the Ukrainian investigation and a trial and its verdict. By examining which parties were responsible for the massacre, the book analyses its implications for not only Russia’s war on Ukraine but also political developments across the globe.																
BOOK	Katchanovski, Ivan	2025/09/01	The Russia-Ukraine War and its Origins: From the Maidan to the Ukraine War	Palgrave Macmillan	978-3-031-98724-3	10.1007/978-3-031-98724-3	https://www.researchgate.net/publication/396694016_The_Russia-Ukraine_War_and_its_Origins_From_the_Maidan_to_the_Ukraine_War	Russia-UkraineWaranditsOriginsbook978-3-031-98724-3.pdf	This open access book examines the Russia-Ukraine war and its origins. Based on analysis of a large number of primary and secondary sources, it provides a systematic analysis of this crucial war, its nature, outcome, possibility of peaceful settlement, violence against civilians, and origins. The book examines the role of such factors as the NATO accession of Ukraine, Russian imperialism, democracy, genocide, and the far-right in the start of the war and traces the conflict escalation ladder, which culminated in this war, to preceding violent conflicts in Ukraine, in particular, the Euromaidan, the Maidan massacre, the Russian annexation of Crimea, and the war in Donbas. The Russia-Ukraine war is the most significant armed conflict of the 21st century in the entire world and in Europe since World War Two in terms of countries involved, casualties inflicted, and actual and potential impact in the world. This book analyzes the involvement of different conflict parties, such as the Ukrainian, Russian, and Western governments, Donbas separatists, and the far right, in this crucial war and in the Euromaidan, the Maidan massacre, the Russian annexation of Crimea, and the war in Donbas, and the nature of these conflicts. This book also examines support for pro-Western/pro-nationalist and pro-Russian/pro-communist political parties and presidential candidates and attitudes towards separatism and joining the European Union, NATO, and the union with Russia in regions of Ukraine in parliamentary and presidential elections and surveys since the Euromaidan.								CC BY 4.0								
